position,president,nominee,announced_date
Secretary of Homeland Security,Joseph R. Biden,Alejandro Mayorkas,11/23/20
Secretary of State,Joseph R. Biden,Antony Blinken,11/23/20
Secretary of the Interior,Joseph R. Biden,Deb Haaland,12/17/20
Secretary of Veterans Affairs,Joseph R. Biden,Denis McDonough,12/10/20
Secretary of Defense,Joseph R. Biden,Gen. Lloyd Austin,12/8/20
Secretary of Commerce,Joseph R. Biden,Gina Raimondo,1/7/21
Secretary of the Treasury,Joseph R. Biden,Janet Yellen,11/30/20
Secretary of Energy,Joseph R. Biden,Jennifer Granholm,12/17/20
Secretary of Housing & Urban Development,Joseph R. Biden,Marcia Fudge,12/10/20
Secretary of Labor,Joseph R. Biden,Marty Walsh,1/7/21
Attorney General,Joseph R. Biden,Merrick Garland,1/7/21
Secretary of Education,Joseph R. Biden,Miguel Cardona,12/22/20
Secretary of Transportation,Joseph R. Biden,Pete Buttigieg,12/15/20
Secretary of Agriculture,Joseph R. Biden,Tom Vilsack,12/10/20
Secretary of Health & Human Services,Joseph R. Biden,Xavier Becerra,12/7/20
